name,country,state,address,reg_no,product_codes,device_names,device_class,specialty,k_numbers,source
"ALL QUALITY & SERVICES, INC.",US,CA,47817 Fremont Blvd Fremont CA US 94538,1000548922,ILC,Utensil; Eating,1,Physical Medicine,,openFDA
"ZHONGHONG PULIN MEDICAL PRODUCTS CO.,LTD.",CN,CN,"West Industrial Park, BDA, Luannan County Tangshan Hebei CN",3010201834,LZA,Polymer Patient Examination Glove,1,General Hospital,,openFDA
GEBR. BRASSELER GMBH & CO. KG,DE,DE,ATTN.: Petra Meier LEMGO North Rhine-Westphalia DE,8010468,EIY,Instrument; Filling; Plastic; Dental,1,Dental,,openFDA
Centro de Construccion de Cardioestimuladores del Uruguay S.A.,UY,UY,General Paz 1363 Montevideo UY,3010326622,SAZ,Stimulator; Nerve Terminus; Totally Implanted For Chronic Intractable Post-Amputation Pain Of The Lower Limb,3,Unknown,,openFDA
ICAT S.A. DE C.V.,SV,SV,KM 12.5 Carretera Troncal del Norte San Salvador SV,3005748481,FSA; MDM,Lift; Patient; Non-Ac-Powered; Instrument; Manual; Surgical; General Use,1,"General Hospital; General, Plastic Surgery",,openFDA
"BANISTER TOOL, INC.",US,TX,3009 A W Grimes Blvd Pflugerville TX US 78660,1649379,NEG; HXG,Finger Semi-Constrained Pyrolytic Carbon Uncemented Prosthesis; Tamp,3; 1,Unknown; Orthopedic,,openFDA
TAIZHOU HUANGYAN GUANHONG PLASTIC STEEL PRODUCTS FACTORY,CN,CN,"Chengjiang Street Industrial Park, Huangyan District Taizhou Zhejiang CN",3030519472,FNY; KYX,Basin; Emesis; Dispenser; Liquid Medication,1,General Hospital,,openFDA
Chiaphua Components (Jiangxi) Limited,CN,CN,"No.1,Jiehe Road, Hi-tech Park, Yichun city Jiangxi CN",3003636180,KNN; INI,Components; Wheelchair; Vehicle; Motorized 3-Wheeled,1; 2,Physical Medicine,,openFDA
"HANGZHOU HAOXING MEDICAL TECHNOLOGY CO., LTD.",CN,CN,Xingguo Road NO.522 Hangzhou-Yuhang Zhejiang CN,3011245426,FMR,Device; Transfer; Patient; Manual,1,General Hospital,,openFDA
BARD SHANNON LIMITED,US,PR,San Geronimo Industrial Park Humacao PR US 00791,3005636544,OTN; KGC; NEU; FTL; OTO; DXZ; GDW,Mesh; Surgical; Synthetic; Urogynecologic; For Stress Urinary Incontinence; Retropubic Or Transobturator; Tube; Gastro-Enterostomy; Marker; Radiographic; Implantable; Polymeric; For Apical Vaginal And Uterine Prolapse; Transabdominally Placed; Patch; Pledget And Intracardiac; Petp; Ptfe; Polypropylene; Staple,2,"General, Plastic Surgery; Gastroenterology, Urology; Cardiovascular",,openFDA
WEILAN OPTICAL (THAILAND) COMPANY LIMITED,TH,TH,"868 Mu 2, Thai Ban Sub-district, Mueang Samut Prakan District Mueang Samut Prakan TH",3038134332,KPY,Shield; Protective; Personnel,1,Radiology,,openFDA
"TAIZHOU XINKANG MEDICAL MATERIALS CO., LTD",CN,CN,"No. 18, Wuzhou (South) Road Taizhou Jiangsu CN",3005460813,OJU; FRL,Skin Prep Tray; Fiber; Medical; Absorbent,1,"General, Plastic Surgery; General Hospital",,openFDA
EDDI BRESSAN S.R.L.,IT,IT,"VIA E. FERMI, 6 CORMONS Gorizia IT",3017397663,JDB; JDC; PHX; KWS,Prosthesis; Elbow; Semi-Constrained; Cemented; Constrained; Shoulder Prosthesis; Reverse Configuration; Shoulder; Metal/Polymer Cemented,2,Orthopedic,,openFDA
Avnet Global Solution Center,US,AZ,6700 W. Morelos Pl. Chandler AZ US 85226,3007137598,MOS; LLZ; QTZ; KNW,Coil; Magnetic Resonance; Specialty; System; Image Processing; Radiological; Radiological Image Processing Software For Ablation Therapy Planning And Evaluation; Instrument; Biopsy,2,"Radiology; Gastroenterology, Urology",,openFDA
"Engineered Medical Systems, LLC",US,TN,3325 Appling Rd Bartlett TN US 38133,3009973336,MAX; OLO; QLR; HXG; HSN,Intervertebral Fusion Device With Bone Graft; Lumbar; Orthopedic Stereotaxic Instrument; Manual Instruments Designed For Use With Non-Fusion Spinous Process Spacer Devices; Tamp; Prosthesis; Ankle; Semi-Constrained; Cemented; Metal/Polymer,2; 1,Orthopedic; Neurology,,openFDA
"S.E.S. HEALTHCARE PRODUCTS CO., LTD.",CN,CN,No.55 Chuangye Road Huainan City Anhui CN,3011494917,FYA,Gown; Surgical,2,"General, Plastic Surgery",,openFDA
ANODYNE SURGICAL,US,MO,804 Corporate Centre Dr O Fallon MO US 63368,1929756,NGY; GAE,Cannula; Trocar; Ophthalmic; Snare; Surgical,1,"Ophthalmic; General, Plastic Surgery",,openFDA
JR MONTAGEARBEITEN,DE,DE,Bischof-Sproll-Str. 4 TUTTLINGEN Baden-Wurttemberg DE,9710058,KCB,Tube; Tonsil Suction,1,"Ear, Nose, Throat",,openFDA
"HENG CHUANG PLASTIC & METAL CO., LTD",CN,CN,"Room 101, Building 1, No. 48-1, Changan Xinhong Road, Changan Town Dongguan Guangdong CN",3010845285,FCZ,Tube; Smoke Removal; Endoscopic,1,"Gastroenterology, Urology",,openFDA
MEDIMAGING INTEGRATED SOLUTION INC.,TW,TW,"3F, No.24-2, Industry E. Rd. IV, Hsinchu Hsinchu (City) TW",3015316279,ERA; LMD,Otoscope; System; Digital Image Communications; Radiological,1,"Ear, Nose, Throat; Radiology",,openFDA
"PERMOBIL, INC.",US,TN,300 Duke Dr LEBANON TN US 37090,1221084,IOR,Wheelchair; Mechanical,1,Physical Medicine,,openFDA
MICROPORT ORTHOPEDICS INC.,US,TN,5677 AIRLINE RD Arlington TN US 38002,3010536692,LZO; JDI; LPH; JWH; KRO,Prosthesis; Hip; Semi-Constrained; Metal/Ceramic/Polymer; Cemented Or Non-Porous; Uncemented; Prosthesis; Hip; Semi-Constrained; Metal/Polymer; Cemented; Prosthesis; Hip; Semi-Constrained; Metal/Polymer; Porous Uncemented; Prosthesis; Knee; Patellofemorotibial; Semi-Constrained; Cemented; Polymer/Metal/Polymer; Prosthesis; Knee; Femorotibial; Constrained; Cemented; Metal/Polymer,2,Orthopedic,,openFDA
KUNSTSTOFF CHRISTEL GMBH & CO. KG,DE,DE,Carl-Friedrich-Benz-Strasse 6 Bad Durrheim Baden-Wurttemberg DE,3005579585,GCJ,Laparoscope; General & Plastic Surgery,2,"Gastroenterology, Urology",,openFDA
"GUANGDONG WONDERFUL PRODUCTS CO.,LTD.",CN,CN,"Shatou,Jiujiang Town,Nanhai Foshan City,Guangdong Province China Nanhai Foshan City Guangdong CN",3016928862,FRG,Wrap; Sterilization,2,General Hospital,,openFDA
CCB MEDICAL DEVICES SDN BHD,MY,MY,"PMT 1124,JLN PERINDUSTRIAN BKT MINYAK 8 SIMPANG AMPAT Pulau Pinang MY",3012287892,BSR,Stylet; Tracheal Tube,1,Anesthesiology,,openFDA
